Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2022-01-05,1,0.49501736301461674,1.9067609654625508e-05,3.5,0
2022-01-06,1,0.5218759163450534,1.9067609654625508e-05,3.5,0
2022-01-07,0,0.4772038654560731,1.9067609654625508e-05,3.5,0
2022-01-10,0,0.5644227249107199,1.9067609654625508e-05,3.5,0
2022-01-11,0,0.4528334508587028,1.9067609654625508e-05,3.5,0
2022-01-12,0,0.5800011447928707,1.9067609654625508e-05,3.5,0
2022-01-13,0,0.5677000793489134,1.9067609654625508e-05,3.5,0
2022-01-14,0,0.525247318224046,1.9067609654625508e-05,3.5,0
2022-01-18,0,0.4746030891187273,1.9067609654625508e-05,3.5,0
2022-01-19,0,0.30856667150006056,1.9067609654625508e-05,3.5,0
2022-01-20,0,0.4294289714011559,1.9067609654625508e-05,3.5,0
2022-01-21,0,0.4318876638007517,1.9067609654625508e-05,3.5,0
2022-01-24,0,0.5884856267599058,1.9067609654625508e-05,3.5,0
2022-01-25,0,0.5415356030359653,5.117276129811229e-05,3.5,0
2022-01-26,0,0.4441380502974435,1.9067609654625508e-05,3.5,0
2022-01-27,0,0.5422061066890775,1.9067609654625508e-05,3.5,0
2022-01-28,1,0.5514720110111694,1.9067609654625508e-05,3.5,0
2022-01-31,1,0.6349237793083258,1.9067609654625508e-05,3.5,0
2022-02-01,1,0.46603344599688706,1.9067609654625508e-05,3.5,0
2022-02-02,1,0.6949469057138628,1.9067609654625508e-05,3.5,0
2022-02-03,1,0.5134590775234612,1.9067609654625508e-05,3.5,0
2022-02-04,1,0.5134425405696978,1.9067609654625508e-05,3.5,0
2022-02-07,1,0.4919145564456673,1.9067609654625508e-05,3.5,0
2022-02-08,1,0.6450340178561005,1.9067609654625508e-05,3.5,0
2022-02-09,1,0.5192302978667762,1.9067609654625508e-05,3.5,0
2022-02-10,1,0.522275993688819,1.9067609654625508e-05,3.5,0
2022-02-11,1,0.4651197356026256,1.9067609654625508e-05,3.5,0
2022-02-14,1,0.5420166434723872,1.9067609654625508e-05,3.5,0
2022-02-15,1,0.6628062669189105,1.9067609654625508e-05,3.5,0
