Date,Pair_Trading,Buy_Hold_SHW,Buy_Hold_HD
2022-01-03,1.0,1.0,1.0
2022-01-04,1.0,0.9899741152818697,1.0102780318921432
2022-01-05,1.0154413027676368,0.9918317332931389,0.9965737398298108
2022-01-06,1.0107085938909361,0.9836045630714544,0.9929520070709505
2022-01-07,1.0096422709690518,0.9531140215408653,0.963219295456901
2022-01-10,1.0256673884918561,0.9533499169863762,0.9481694033660879
2022-01-11,1.0256673884918561,0.9568886300552558,0.9462360546943949
2022-01-12,1.0256673884918561,0.9483074759721964,0.9529168086962178
2022-01-13,1.0256673884918561,0.9359225430035522,0.946994654698088
2022-01-14,1.0256673884918561,0.9095896704245171,0.9103364740371644
2022-01-18,1.0256673884918561,0.9029842227685909,0.8974155695663653
2022-01-19,1.0256673884918561,0.895818628949408,0.8802123181668231
2022-01-20,1.0256673884918561,0.8777422845540633,0.8554714773884795
2022-01-21,1.0256673884918561,0.8635586370889733,0.8542970614397796
2022-01-24,1.0256673884918561,0.8802786999168879,0.8902944615711704
2022-01-25,1.0256673884918561,0.8677165874267446,0.8784748579829258
2022-01-26,1.0256673884918561,0.863263838128639,0.8743147022170584
2022-01-27,1.0256673884918561,0.8350142564327,0.8722345411542998
2022-01-28,1.0256673884918561,0.8483723167362051,0.8969751323931684
2022-01-31,1.0201936343479143,0.8448632430155486,0.8980519784071829
2022-02-01,1.0388416810809205,0.8642661358346942,0.9022609607303056
2022-02-02,1.029029098238738,0.8678933917666205,0.9145701607683021
2022-02-03,1.0308984876387082,0.84875556476418,0.8927416120216807
2022-02-04,1.0235756947845482,0.8307680446180994,0.8801633252499179
2022-02-07,1.021058546929893,0.8233664615579999,0.8744861358363141
2022-02-08,1.011018030541437,0.8246934789588297,0.8844947482753911
2022-02-09,1.0279464277789225,0.8451873999378887,0.8916648491874911
2022-02-10,1.0301335821070994,0.8254600688101856,0.868955509274301
2022-02-11,1.0189245125082331,0.805319568920067,0.8572090207522018
2022-02-14,1.005455344976499,0.7975939227330331,0.8603170349120698
2022-02-15,1.0046449513475824,0.800807916107138,0.8644771906779372
2022-02-16,1.0175817557632163,0.8039337417998194,0.8567196738419247
