Date,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Return_A,Return_B,Strategy_Return,Cumulative_Return
2022-01-03,325.3632507324219,366.88677978515625,-100.80748581815715,-0.9674780214961556,0,0,,,0.0,1.0
2022-01-04,322.1011962890625,370.65765380859375,-108.44973668328146,-1.4460541045257194,1,-1,-0.010025884718130262,0.010278031892143158,0.0,1.0
2022-01-05,322.7055969238281,365.6297302246094,-102.00496780640742,-1.0424672163746658,1,-1,0.0018764308910645955,-0.013564871876572071,0.015441302767636667,1.0154413027676368
2022-01-06,320.0287780761719,364.30096435546875,-103.13831013663088,-1.1134398319956944,1,-1,-0.00829492538453891,-0.0036341844201902562,-0.004660740964348653,1.0107085938909361
2022-01-07,310.1082763671875,353.3924255371094,-100.3876002374098,-0.941183779118993,1,-1,-0.030998780074156795,-0.029943754987470483,-0.001055025086686312,1.0096422709690518
2022-01-10,310.1850280761719,347.8708190917969,-93.89702493107688,-0.5347283824650269,0,0,0.00024749971166038165,-0.015624574966258575,0.015872074677918957,1.0256673884918561
2022-01-11,311.3363952636719,347.1614990234375,-91.92172111615236,-0.411030118795877,0,0,0.003711872215886869,-0.0020390329669249807,0.0,1.0256673884918561
2022-01-12,308.5444030761719,349.6125793457031,-97.56085515732246,-0.7641662208070961,0,0,-0.00896776679493394,0.007060346061301459,0.0,1.0256673884918561
2022-01-13,304.5148010253906,347.4398193359375,-99.06660847675477,-0.8584601059910067,0,0,-0.01306003936745026,-0.006214764965928654,-0.0,1.0256673884918561
2022-01-14,295.9470520019531,333.99041748046875,-92.01171364732227,-0.41666566699094554,0,0,-0.028135739197527876,-0.03871001856141476,-0.0,1.0256673884918561
2022-01-18,293.7978820800781,329.2499084472656,-88.65437219397717,-0.20642089087830676,0,0,-0.007262008211728399,-0.014193548033396342,-0.0,1.0256673884918561
2022-01-19,291.4664611816406,322.9382629394531,-83.65427077240702,0.10669745544631003,0,0,-0.007935458492522529,-0.019169771489316645,-0.0,1.0256673884918561
2022-01-20,285.5850830078125,313.8611755371094,-78.99182660884782,0.3986708942302929,0,0,-0.02017857612153484,-0.02810781020409958,-0.0,1.0256673884918561
2022-01-21,280.9702453613281,313.4302978515625,-83.106162545458,0.14102130753635397,0,0,-0.016159239123697988,-0.0013728288782756115,-0.0,1.0256673884918561
2022-01-24,286.41033935546875,326.63726806640625,-93.00710707921809,-0.47899959165756373,0,0,0.019361815295226847,0.04213686521492077,0.0,1.0256673884918561
2022-01-25,282.3230895996094,322.3008117675781,-92.05718766813942,-0.4195133592672608,0,0,-0.014270608264552287,-0.013276061009506512,-0.0,1.0256673884918561
2022-01-26,280.87432861328125,320.7745056152344,-91.7330120075627,-0.39921270170047973,0,0,-0.005131571025178139,-0.004735657176825336,-0.0,1.0256673884918561
2022-01-27,271.6829528808594,320.0113220214844,-100.0378839677249,-0.919283707337616,0,0,-0.03272415737600898,-0.0023791903046853635,-0.0,1.0256673884918561
2022-01-28,276.0291748046875,329.08831787109375,-106.23537803486221,-1.3073856536875925,1,-1,0.015997403877357153,0.028364608452822182,0.0,1.0256673884918561
2022-01-31,274.887451171875,329.4833984375,-107.8360219266188,-1.4076218141541208,1,-1,-0.004136242604139029,0.0012005305109645814,-0.00533677311510361,1.0201936343479143
2022-02-01,281.200439453125,331.0276184082031,-103.31677874214239,-1.1246159642212437,1,-1,0.02296572016778886,0.004686791437827242,0.01827892872996162,1.0388416810809205
2022-02-02,282.380615234375,335.543701171875,-107.38242380743378,-1.3792164117431898,1,-1,0.004196920116999792,0.01364261624268126,-0.009445696125681469,1.029029098238738
2022-02-03,276.15386962890625,327.53509521484375,-104.30648071572466,-1.1865934761143875,1,-1,-0.022050896093914085,-0.023867549678511235,0.0018166535845971499,1.0308984876387082
2022-02-04,270.3013916015625,322.9202880859375,-104.79846100500185,-1.2174024620957973,1,-1,-0.02119281556766983,-0.014089504289240273,-0.007103311278429558,1.0235756947845482
2022-02-07,267.8931884765625,320.83740234375,-104.78721213606917,-1.2166980309370554,1,-1,-0.008909325663220447,-0.006450154477854242,-0.0024591711853662046,1.021058546929893
2022-02-08,268.324951171875,324.5094299316406,-108.62082717576743,-1.4567682016134238,1,-1,0.0016116971759074783,0.011445135639006176,-0.009833438463098698,1.011018030541437
2022-02-09,274.992919921875,327.1400451660156,-105.00854561261906,-1.23055846422039,1,-1,0.024850349253315862,0.008106436952938889,0.016743912300376973,1.0279464277789225
2022-02-10,268.5743713378906,318.80828857421875,-101.74903807922169,-1.0264402828796766,1,-1,-0.02334077759459363,-0.02546847050647283,0.0021276929118791976,1.0301335821070994
2022-02-11,262.0213928222656,314.4986572265625,-103.29600692950078,-1.1233151834817874,1,-1,-0.024399120746263492,-0.013517940097887315,-0.010881180648376176,1.0189245125082331
2022-02-14,259.50775146484375,315.6389465332031,-107.13419297064326,-1.3636716012344825,1,-1,-0.00959326767309765,0.003625736646052369,-0.013219004319150018,1.005455344976499
2022-02-15,260.553466796875,317.1652526855469,-107.86141428551684,-1.4092119445849032,1,-1,0.004029611162396973,0.004835607801596753,-0.0008059966391997797,1.0046449513475824
2022-02-16,261.57049560546875,314.3191223144531,-103.53835881311613,-1.1384918398389832,1,-1,0.003903340151626633,-0.008973651265372196,0.012876991416998829,1.0175817557632163
2022-02-17,256.3799133300781,312.3887634277344,-106.4866622333198,-1.3231216730289443,1,-1,-0.019843913448172934,-0.0061413981831737186,-0.013702515264999215,1.003638326221486
2022-02-18,257.1955261230469,311.4281921386719,-104.55526278265569,-1.202172805976901,1,-1,0.0031812663573167477,-0.0030749226653432604,0.006256189022660008,1.009917277300714
2022-02-22,250.96873474121094,283.864990234375,-78.76501047563158,0.41287466462703587,0,0,-0.02421034096392849,-0.08850580197962166,0.06429546101569317,1.0748503742324769
2022-02-23,248.87716674804688,276.93377685546875,-72.8053744635506,0.7860813689449333,0,0,-0.008333978315349988,-0.024417288560957928,-0.0,1.0748503742324769
2022-02-24,248.43589782714844,281.23431396484375,-78.24208930522786,0.4456212428121497,0,0,-0.0017730389921433165,0.01552911731536244,0.0,1.0748503742324769
2022-02-25,257.0235290527344,284.2959289550781,-73.21078877159692,0.7606933523810735,0,0,0.03456678886060516,0.010886349347174917,0.0,1.0748503742324769
2022-02-28,253.04220581054688,283.5596923828125,-76.33690953834594,0.564928170364403,0,0,-0.01549011196313721,-0.0025896838374424025,-0.0,1.0748503742324769
2022-03-01,245.7335662841797,287.5281066894531,-88.2552056159501,-0.18142412215663517,0,0,-0.028883084950022786,0.013994987345673726,0.0,1.0748503742324769
2022-03-02,250.2437744140625,293.920654296875,-91.17049459415318,-0.36398651178645985,0,0,0.0183540580071464,0.02223277467036011,0.0,1.0748503742324769
2022-03-03,248.1473846435547,291.21807861328125,-90.12760889026185,-0.2986785071129279,0,0,-0.008377390308376031,-0.009194915852575702,-0.0,1.0748503742324769
2022-03-04,248.5801239013672,291.1283264160156,-89.59061469026221,-0.26505064205314344,0,0,0.0017438799866220656,-0.0003081958293695841,0.0,1.0748503742324769
2022-03-07,233.63587951660156,289.79058837890625,-102.98096060825702,-1.1035862270454353,1,-1,-0.06011842037175619,-0.004595011600478149,-0.0,1.0748503742324769
2022-03-08,230.6547393798828,284.3766784667969,-99.67337598849036,-0.8964573432187452,1,-1,-0.012759770215460042,-0.01868214541540114,0.005922375199941099,1.0812160414324787
2022-03-09,232.4434051513672,286.5083312988281,-100.36080940495941,-0.9395060729194072,1,-1,0.007754732360120586,0.007495877803777473,0.0002588545563431133,1.0814959191311948
2022-03-10,228.44285583496094,287.1767272949219,-105.13775849823838,-1.238650085101202,1,-1,-0.017210853170048335,0.002332902478136445,-0.01954375564818478,1.0603594271531858
2022-03-11,224.6346893310547,286.1380310058594,-107.73938939783272,-1.4015704533788909,1,-1,-0.016670105484311915,-0.00361692362346544,-0.013053181860846474,1.0465183627126922
2022-03-14,228.5198211669922,287.5561218261719,-105.50149273821336,-1.2614279958114292,1,-1,0.017295333358828602,0.0049559676332695535,0.012339365725559048,1.0594317355287173
2022-03-15,233.1454315185547,296.75115966796875,-111.55671436414468,-1.6406205005797192,1,-1,0.020241615488497677,0.031976498303712964,-0.011734882815215286,1.0469994282615676
2022-03-16,235.01104736328125,298.891845703125,-112.1776905543241,-1.679507519338407,1,-1,0.008001940387916573,0.007213741093889725,0.0007881992940268479,1.04782467247177
2022-03-17,238.03067016601562,303.8144836425781,-114.8761376086095,-1.8484907474860168,1,-1,0.012848854709653912,0.01646962943359309,-0.0036207747239391797,1.0440307353825642
2022-03-18,241.88693237304688,307.7705993652344,-115.61524608348464,-1.8947754933131802,1,-1,0.016200694659816994,0.01302148493786226,0.0031792097219547344,1.047349928046512
2022-03-21,236.39584350585938,297.5008239746094,-109.17710232747817,-1.4916034861246017,1,-1,-0.022701056288228716,-0.033368279529643274,0.010667223241414558,1.0585222435408634
2022-03-22,240.57907104492188,297.82598876953125,-105.37158182989947,-1.2532926630749184,1,-1,0.017695859102356826,0.0010929878800927106,0.016602871222264115,1.0760967520362745
2022-03-23,238.14605712890625,286.37286376953125,-94.50080017193972,-0.5725382365122174,0,0,-0.010113156998437844,-0.03845576085323721,0.028342603854799364,1.106596135988675
2022-03-24,240.34825134277344,285.2257385253906,-90.96612074152301,-0.35118813083932815,0,0,0.00924724196745852,-0.004005705111304825,0.0,1.106596135988675
2022-03-25,235.8092041015625,280.61920166015625,-90.15427687143813,-0.3003485200710069,0,0,-0.018885293385128787,-0.016150495004588428,-0.0,1.106596135988675
2022-03-28,240.9733428955078,283.8708801269531,-88.76724394113819,-0.2134891904662642,0,0,0.02189964897095842,0.011587512356815877,0.0,1.106596135988675
2022-03-29,249.40713500976562,286.96905517578125,-83.9322501899473,0.0892897174438357,0,0,0.03499885926351154,0.010914029108736178,0.0,1.106596135988675
2022-03-30,243.3101806640625,278.61395263671875,-80.32403008070554,0.3152451168497587,0,0,-0.024445789594048306,-0.02911499476466073,-0.0,1.106596135988675
2022-03-31,240.0501708984375,270.367431640625,-74.00499224765969,0.7109584254059437,0,0,-0.013398575253725564,-0.029598377676534726,-0.0,1.106596135988675
2022-04-01,245.4258270263672,272.6797790527344,-71.31532769554133,0.8793916721985209,0,0,0.022393885860652274,0.008552610786283443,0.0,1.106596135988675
2022-04-04,249.10899353027344,276.0126953125,-71.50363178023866,0.8675996186709176,0,0,0.015007249027261249,0.012222821477059664,0.0,1.106596135988675
2022-04-05,248.08004760742188,275.3623352050781,-71.77712817131538,0.8504726185404281,0,0,-0.004130504917826294,-0.0023562688183075275,-0.0,1.106596135988675
2022-04-06,252.56143188476562,269.6538391113281,-60.664831800888976,1.546351275794609,-1,1,0.01806426724181942,-0.020730853003184224,0.0,1.106596135988675
2022-04-07,253.71536254882812,273.45648193359375,-63.92799976696165,1.3420038693783443,-1,1,0.0045689108406266055,0.014101942085444241,0.009533031244817636,1.1171453515284493
2022-04-08,253.6480712890625,281.007568359375,-72.76653120528238,0.7885138269631526,-1,1,-0.0002652234342044313,0.02761348486745674,0.02787870830166117,1.1482899209142676
2022-04-11,251.09002685546875,277.04241943359375,-70.71871211001724,0.9167531714522967,-1,1,-0.010085014329474395,-0.014110470223030802,-0.004025455893556407,1.1436675304846118
2022-04-12,247.09913635253906,276.6539306640625,-74.2583392963736,0.6950932254327371,0,0,-0.015894261324950643,-0.0014022717904553783,0.014491989534495264,1.1602415483673367
2022-04-13,248.49349975585938,280.3843994140625,-77.19723809399005,0.5110523322709951,0,0,0.005642931108148286,0.013484242718133865,0.0,1.1602415483673367
2022-04-14,243.20437622070312,275.05523681640625,-76.29607821045533,0.567485126071779,0,0,-0.02128475610167957,-0.019006630214779996,-0.0,1.1602415483673367
2022-04-18,236.73245239257812,271.16229248046875,-78.24601038772715,0.44537569521931825,0,0,-0.026611050050562635,-0.014153318369778844,-0.0,1.1602415483673367
2022-04-19,242.5792999267578,278.017822265625,-80.3624538167578,0.3128389303191421,0,0,0.02469812429638396,0.0252820173573729,0.0,1.1602415483673367
2022-04-20,243.3870849609375,284.6476745605469,-87.25581581601153,-0.11883993533584307,0,0,0.0033299833680102697,0.0238468607548028,0.0,1.1602415483673367
2022-04-21,241.9638671875,280.3301086425781,-83.66380723421241,0.10610025932996486,0,0,-0.005847548458316587,-0.015168105359140593,-0.0,1.1602415483673367
2022-04-22,235.53038024902344,271.0719909667969,-79.34318951056383,0.37666770640083697,0,0,-0.026588626695618123,-0.03302576994177031,-0.0,1.1602415483673367
2022-04-25,238.51148986816406,275.43463134765625,-81.42966413500068,0.24600765993986232,0,0,0.01265700677759174,0.016094028620587952,0.0,1.1602415483673367
2022-04-26,260.9662780761719,270.9364318847656,-53.749828081512874,1.9793853978824147,-1,1,0.09414551986748965,-0.01633127773686871,0.0,1.1602415483673367
2022-04-27,268.6692199707031,272.41778564453125,-47.76760674077474,2.3540064496633097,-1,1,0.02951700101375887,0.005467532547987819,-0.02404946846577105,1.132338355837199
2022-04-28,270.52520751953125,281.5947570800781,-56.571465475535376,1.8026876951253004,-1,1,0.0069080765896090135,0.03368712293815346,0.026779046348544444,1.162661297150398
2022-04-29,264.418701171875,271.33392333984375,-50.75912570052839,2.1666703557121085,-1,1,-0.022572781308061174,-0.036438298236200706,-0.013865516928139532,1.1465403972530666
