Feature,Importance
Spread_Change,0.17396379782187718
Spread,0.16830524145934664
Zscore,0.16138997669994523
Spread_Lag1,0.14659211767095962
Return_B_Lag1,0.12662502650494342
Zscore_Lag1,0.12043921043536689
Return_A_Lag1,0.10268462940756093
